,time,entity,id,x,y,status
267,44,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
268,44,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
269,44,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
270,45,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
271,45,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
272,45,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
273,45,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
274,45,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
275,45,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
276,46,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
277,46,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
278,46,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
279,46,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
280,46,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
281,46,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
282,47,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
283,47,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
284,47,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
285,47,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
286,47,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
287,47,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
288,48,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
289,48,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
290,48,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
291,48,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
292,48,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
293,48,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
294,49,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
295,49,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
296,49,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
297,49,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
